A1,A6,B1,B9,D1,E38,year,weight,B10
2,1,8508,1,8,NA,2016,47.4411764705882,3
1,2,8510,1,7,NA,2016,15.3400932715348,4
1,6,8215,1,7,NA,2016,38.7921736556311,2
2,3,8215,1,8,NA,2016,47.4411764705882,2
1,7,8231,1,2,NA,2016,157.275872994598,4
2,2,8313,1,3,NA,2016,8.63859073896496,1
1,1,8218,1,8,NA,2016,128.18586113674,5
1,3,8423,1,7,NA,2016,26.2618936542216,2
1,2,8423,1,7,NA,2016,45.9151882793089,2
1,7,8510,2,8,NA,2016,14.643253502575,NA
1,3,8236,1,7,NA,2016,58.710173106203,2
1,8,8231,1,3,NA,2016,157.275872994598,5
2,8,8406,1,5,NA,2016,31.6666495541945,1
2,9,8510,1,7,NA,2016,15.706634523592,2
2,4,8231,1,7,NA,2016,122.292834758137,2
2,4,8439,2,8,NA,2016,25.7427298201403,NA
2,10,8510,1,8,NA,2016,13.1335672450724,3
2,11,8218,2,4,NA,2016,99.9422914896897,NA
2,9,8218,1,8,NA,2016,99.9422914896897,2
1,5,8212,2,9,NA,2016,90.7128740959531,NA
2,10,8212,2,9,NA,2016,103.594552567325,NA
2,2,8218,2,5,NA,2016,108.078974180107,NA
1,2,8510,1,8,NA,2016,15.2881654368882,2
1,6,8236,1,5,NA,2016,49.6335130520869,4
1,6,8218,1,6,NA,2016,106.771943494037,3
1,9,8207,2,8,NA,2016,215.011695791149,NA
2,7,8231,1,2,NA,2016,182.248517720399,3
2,2,8236,2,8,NA,2016,53.5132453047881,NA
2,7,8231,2,2,NA,2016,122.292834758137,NA
2,8,8406,1,3,NA,2016,31.6666495541945,2
1,10,8231,2,3,NA,2016,157.275872994598,NA
2,1,8439,1,7,NA,2016,27.5022780447013,2
2,5,8345,1,1,NA,2016,8.63859073896496,3
1,1,8510,1,8,NA,2016,45.9151882793089,4
2,5,8336,1,5,NA,2016,8.63859073896496,1
1,11,8439,2,8,NA,2016,21.5734489737051,NA
2,8,8424,1,5,NA,2016,38.2234430314533,1
2,6,8401,1,8,NA,2016,38.2234430314533,1
1,5,8236,1,8,NA,2016,58.710173106203,3
2,7,8510,1,7,NA,2016,15.706634523592,3
1,1,8510,1,9,NA,2016,15.3400932715348,2
2,7,8439,1,8,NA,2016,22.8305835092597,2
1,4,8236,1,2,NA,2016,58.710173106203,2
1,11,8236,2,9,NA,2016,49.6335130520869,NA
1,4,8231,1,2,NA,2016,127.562715249726,5
2,3,8254,1,5,NA,2016,117.636295722456,5
2,9,8231,1,6,NA,2016,182.248517720399,3
2,2,8231,1,3,NA,2016,143.445621063506,4
1,6,8229,1,9,NA,2016,20.1563003484699,4
2,5,8231,1,2,NA,2016,118.712385680636,3
1,2,8231,1,2,NA,2016,175.672714412934,5
1,3,8255,1,1,NA,2016,115.364006574644,4
1,4,8215,1,7,NA,2016,38.7921736556311,4
2,7,8218,2,8,NA,2016,26.4774227347595,NA
1,3,8218,1,5,NA,2016,106.771943494037,1
1,3,8207,2,6,NA,2016,22.1597661958095,NA
1,9,8231,1,3,NA,2016,157.275872994598,4
1,3,8212,1,4,NA,2016,90.7128740959531,1
1,4,8439,1,8,NA,2016,21.9237870339284,2
2,2,8229,2,7,NA,2016,28.7252461963411,NA
2,5,8406,2,2,NA,2016,32.1692409192405,NA
2,5,8231,1,3,NA,2016,118.712385680636,3
2,3,8439,1,7,NA,2016,22.8305835092597,2
2,2,8410,1,7,NA,2016,48.2582040754805,5
1,8,8218,2,9,NA,2016,110.015037418155,NA
1,9,8406,2,1,NA,2016,33.620848202021,NA
2,6,8545,1,8,NA,2016,114.302214820726,4
2,9,8406,2,2,NA,2016,31.6666495541945,NA
2,5,8215,1,8,NA,2016,31.2227431976525,3
1,7,8215,1,8,NA,2016,32.4527266661945,2
1,6,8240,2,8,NA,2016,255.711092776512,NA
2,5,8438,1,8,NA,2016,22.8305835092597,2
1,3,8231,1,3,NA,2016,175.672714412934,2
2,7,8231,2,8,NA,2016,182.248517720399,NA
1,6,8207,2,6,NA,2016,255.711092776512,NA
1,4,8231,1,3,NA,2016,127.562715249726,4
2,3,8236,2,7,NA,2016,50.0081358505039,NA
2,2,8601,2,9,NA,2016,31.2227431976525,NA
2,8,8261,1,5,NA,2016,22.8305835092597,1
1,7,8231,2,3,NA,2016,127.562715249726,NA
1,4,8218,1,2,NA,2016,115.364006574644,1
1,1,8510,1,7,NA,2016,15.3400932715348,1
1,3,8212,2,4,NA,2016,92.2463794214078,NA
2,9,8207,1,8,NA,2016,311.822959595088,1
1,1,8229,2,8,NA,2016,22.1597661958095,NA
2,5,8231,1,2,NA,2016,118.712385680636,2
1,5,8310,1,4,NA,2016,10.1887831539162,1
2,4,8231,1,4,NA,2016,118.712385680636,2
2,6,8406,1,7,NA,2016,31.6666495541945,2
2,7,8424,1,8,NA,2016,22.8305835092597,2
2,3,8510,1,7,NA,2016,13.1335672450724,3
2,3,8510,1,7,NA,2016,13.1335672450724,3
1,3,8345,1,2,NA,2016,10.1887831539162,1
2,10,8207,1,6,NA,2016,311.822959595088,5
2,10,8432,2,8,NA,2016,31.6666495541945,NA
2,8,8406,2,2,NA,2016,31.6666495541945,NA
1,8,8236,2,8,NA,2016,49.6335130520869,NA
2,3,8510,1,7,NA,2016,14.4414125595827,3
1,8,8207,2,3,NA,2016,215.011695791149,NA
2,10,8218,1,9,NA,2016,99.9422914896897,1
2,4,8212,1,9,NA,2016,114.302214820726,2
1,1,8510,1,7,NA,2016,15.3400932715348,2
1,10,8212,2,9,NA,2016,110.039775888745,NA
2,3,8438,2,7,NA,2016,32.1692409192405,NA
2,5,8406,1,2,NA,2016,31.6666495541945,1
2,7,8406,1,4,NA,2016,38.2234430314533,1
1,1,8218,1,5,NA,2016,173.962164726582,5
2,9,8510,1,8,NA,2016,13.1335672450724,1
1,9,8232,1,8,NA,2016,32.4527266661945,2
1,1,8229,2,5,NA,2016,32.3606557377049,NA
2,4,8319,2,2,NA,2016,8.63859073896496,NA
2,2,8354,1,3,NA,2016,9.3679918497525,3
1,11,8231,1,2,NA,2016,157.275872994598,5
1,5,8337,2,7,NA,2016,10.1887831539162,NA
2,5,8229,2,6,NA,2016,20.211326255055,NA
2,2,8523,2,9,NA,2016,21.7591746697462,NA
2,5,8212,1,4,NA,2016,117.636295722456,3
2,3,8231,1,7,NA,2016,227.749729505977,3
1,4,8231,1,3,NA,2016,127.562715249726,1
1,8,8545,2,8,NA,2016,18.8616349612914,NA
1,5,8215,2,8,NA,2016,38.7921736556311,NA
1,2,8439,1,8,NA,2016,29.6894953128804,4
2,5,8236,1,3,NA,2016,45.0972990249956,2
2,2,8510,1,7,NA,2016,16.0565933217784,2
1,2,8406,1,7,NA,2016,32.3395327179569,2
1,5,8401,1,6,NA,2016,115.364006574644,2
2,6,8439,1,7,NA,2016,22.8305835092597,3
1,1,8212,1,6,NA,2016,92.2463794214078,3
2,1,8510,1,8,NA,2016,16.0565933217784,4
