"W22A1";"W22B1";"W22A6";"W22B9";"W22D1";"W22E38";"weight_2022"
1;8423;9;1;8;1;298.373194155132
2;8212;10;1;9;1;137.753116741036
2;8215;10;1;8;-7;121.46411109786
2;8236;9;2;6;1;224.618909943446
2;8236;13;1;6;1;224.618909943446
1;8218;10;1;2;4;186.394448566359
1;8510;15;2;8;1;218.712007132344
2;8218;9;1;5;1;200.865581872604
2;8310;12;1;7;-7;313.204169830961
1;8439;15;1;8;1;228.644675955835
1;8215;13;1;8;2;180.314053006699
2;8423;13;2;8;1;180.284500232177
2;8218;14;1;8;3;184.70398333113
1;8212;14;1;7;2;179.752137312689
1;8212;8;1;6;1;179.752137312689
1;8510;8;1;8;1;218.712007132344
1;8218;6;1;7;1;186.394448566359
2;8439;13;1;8;1;201.022012559416
1;8229;16;1;8;2;222.905868568143
1;8236;7;2;8;1;170.932219402241
2;8229;11;1;8;-7;191.254020810238
2;8424;7;1;9;1;203.580530281607
2;8406;9;1;6;2;234.117609823848
2;8207;14;1;4;1;186.132616317856
2;8231;15;1;2;-7;441.391610428513
1;8218;7;1;5;1;153.785782990628
2;8423;15;1;7;1;205.91870260894
2;8207;9;2;8;2;178.9736695364
2;8432;9;1;7;1;234.117609823848
1;8510;14;2;9;2;218.712007132344
1;8212;10;2;9;1;168.217240800645
1;8215;9;1;8;-7;141.864106006216
1;8229;12;1;4;1;235.112433397301
2;8215;14;2;4;1;121.46411109786
1;8229;9;2;8;2;220.666200930493
2;8229;12;1;5;2;211.368080039836
2;8439;8;1;9;4;224.953204530775
2;8207;12;2;9;1;178.9736695364
2;8229;15;2;9;1;207.074665914026
1;8229;16;1;8;1;235.112433397301
