"W16A1";"W16A6";"W16B1";"W16B9";"W16D1";"weight_2016"
1;1;8218;1;5;173.962164726582
2;9;8510;1;8;13.1335672450724
1;9;8232;1;8;32.4527266661945
1;1;8229;2;5;32.3606557377049
2;4;8319;2;2;8.63859073896496
2;2;8354;1;3;9.3679918497525
1;11;8231;1;2;157.275872994598
1;5;8337;2;7;10.1887831539162
2;5;8229;2;6;20.211326255055
2;2;8523;2;9;21.7591746697462
2;5;8212;1;4;117.636295722456
2;3;8231;1;7;227.749729505977
1;4;8231;1;3;127.562715249726
1;8;8545;2;8;18.8616349612914
1;5;8215;2;8;38.7921736556311
1;2;8439;1;8;29.6894953128804
2;5;8236;1;3;45.0972990249956
2;2;8510;1;7;16.0565933217784
1;2;8406;1;7;32.3395327179569
1;5;8401;1;6;115.364006574644
2;6;8439;1;7;22.8305835092597
1;1;8212;1;6;92.2463794214078
2;1;8510;1;8;16.0565933217784
2;3;8218;2;9;105.253527751603
2;3;8218;2;8;108.078974180107
1;7;8231;1;2;127.562715249726
1;6;8313;2;4;10.1887831539162
2;2;8236;1;2;73.6335214177529
2;7;8534;1;2;117.636295722456
2;1;8215;1;8;47.4411764705882
2;5;8264;2;4;114.302214820726
1;9;8207;1;8;215.845074456563
1;10;8207;1;6;215.011695791149
1;11;8231;1;2;127.562715249726
1;4;8207;2;8;255.711092776512
1;7;8215;1;7;32.4527266661945
1;3;8229;1;4;22.1597661958095
2;6;8229;1;8;20.211326255055
2;8;8207;1;9;311.822959595088
2;5;8406;2;7;31.6666495541945
2;4;8218;2;8;105.253527751603
2;5;8218;1;8;105.253527751603
2;9;8215;1;7;31.2227431976525
1;4;8218;1;5;106.771943494037
1;5;8231;1;2;161.456190316157
1;4;8510;1;8;12.2027112521508
1;2;8510;1;7;15.3400932715348
1;3;8510;1;8;38.7921736556311
1;5;8236;1;2;44.3734396580336
1;1;8256;1;4;92.2463794214078
1;3;8231;2;8;145.913948583214
1;2;8439;2;8;24.3891328104788
2;7;8229;2;8;20.2200819493145
1;2;8212;2;4;92.2463794214078
2;5;8439;1;6;118.712385680636
2;4;8231;2;8;122.292834758137
1;3;8510;1;7;15.8836943984518
1;10;8423;1;8;32.4527266661945
2;7;8207;1;9;255.501995173598
1;10;8207;1;9;215.845074456563
2;2;8406;2;2;32.1692409192405
2;2;8510;1;8;16.0565933217784
2;9;8313;2;4;9.3679918497525
2;4;8207;1;9;352.189436344679
1;2;8231;1;3;115.283157850041
1;3;8510;1;9;12.2441590226343
2;2;8439;1;7;19.2976680352505
2;2;8359;1;5;47.4411764705882
2;6;8229;2;5;20.211326255055
2;6;8423;1;8;22.8305835092597
2;7;8229;1;7;20.2200819493145
1;7;8231;1;3;127.562715249726
1;3;8229;2;8;32.3606557377049
2;9;8229;1;4;20.211326255055
2;9;8218;1;8;255.501995173598
1;3;8439;1;8;22.8305835092597
2;1;8510;1;8;16.0565933217784
2;10;8231;1;2;182.248517720399
2;9;8406;2;2;31.6666495541945
1;6;8236;2;8;58.710173106203
1;4;8510;2;6;12.2027112521508
1;2;8236;1;2;42.9796063940674
2;6;8510;1;3;13.1335672450724
1;10;8439;1;4;18.8616349612914
2;3;8215;1;7;47.4411764705882
2;9;8231;1;4;182.248517720399
1;7;8229;2;8;22.1597661958095
1;3;8218;1;7;115.364006574644
1;1;8218;1;7;115.364006574644
1;8;8231;2;2;179.559973669534
2;6;8207;1;2;311.822959595088
1;5;8212;1;4;90.7128740959531
2;5;8229;1;4;20.211326255055
2;10;8218;1;3;99.9422914896897
2;3;8439;1;9;22.8305835092597
1;5;8236;2;9;58.710173106203
